id.resp_p,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,flow_duration
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,32.011598
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,31.883584
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,74,8.222222,12.852799,0,21,30,6.0,8.689074,0,33,104,7.428571,11.229866,32.124053
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,74,8.222222,12.852799,0,21,30,6.0,8.689074,0,33,104,7.428571,11.229866,31.961063
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,31.902362
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,31.869686
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,32.094711
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,32.104011
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,32.026967
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,32.048637
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,31.977057
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,75,8.333333,12.980755,0,22,31,6.2,9.121403,0,33,106,7.571429,11.420052,31.962308
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,75,8.333333,12.980755,0,22,31,6.2,9.121403,0,33,106,7.571429,11.420052,31.965302
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,31.885127
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,31.926578
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,32.061416
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,32.025109
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,31.908247
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,32.009238
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,31.930485
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,32.048572
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,32.054278
1883,9,5,3,3,0.555556,296,32,40,168,32,40,0,2,1,3,3,13,0,33,76,8.444444,13.115936,0,23,32,6.4,9.555103,0,33,108,7.714286,11.618477,31.927022
